Address,Latitude,Longitude,Price,Postcode,Postcode District,Crime Rate,Income
"Haydon Gardens, 15-16 Minories, London, EC3N 1AX",51.5130455,-0.0756809,820000.0,EC3N 1LS,EC3N 1,5.0,46800.0
"Roman House, Wood Street, London, EC2Y",51.5182532,-0.0929714,750000.0,EC2Y 5DB,EC2Y 5,1.0,42300.0
"Bryer Court, Barbican, London, EC2Y",51.520837,-0.0960133,550000.0,EC2Y 8AG,EC2Y 8,3.0,42300.0
"Carter Lane, London, EC4V",51.5130147,-0.1000028,475000.0,EC4V 5AB,EC4V 5,1.0,42300.0
"Water Lane, Tower Hill, EC3R",51.5085184,-0.0812698,850000.0,EC3R 6AN,EC3R 6,37.0,45100.0
"Bush Lane, Cannon Street, London",51.5114293,-0.0892617,535000.0,EC4N 6HT,EC4N 6,37.0,52300.0
"Moor Lane, London, EC2Y",51.5193151,-0.0902713,3250000.0,EC2Y 9AP,EC2Y 9,7.0,45200.0
"Dyer's Building, Pink Mews, EC1N",51.5178267,-0.1099753,1400000.0,EC1N 2LE,EC1N 2,37.0,38500.0
"Pinks Mews, Holborn, EC1N",51.5178267,-0.1099753,1400000.0,EC1N 2LE,EC1N 2,37.0,38500.0
"Dyer's Buildings, Chancery Lane, London",51.5173423,-0.1096363,1400000.0,EC1N 2JT,EC1N 2,37.0,38500.0
"Dyer's Buildings, London, EC1N",51.5175887,-0.1100031,1400000.0,EC1N 2JT,EC1N 2,37.0,38500.0
"Botolph Alley, Tower Bridge, EC3R",51.5101986,-0.0842186,500000.0,EC3R 8DR,EC3R 8,5.0,45100.0
"Minories, London",51.5118209,-0.0753689,480000.0,EC3N 1DY,EC3N 1,1.0,46800.0
"St Dunstans House, 133 137 Fetter Lane, London, EC4A",51.51491610000001,-0.1100122,700000.0,EC4A 1BT,EC4A 1,3.0,70900.0
"Tudor Street, City, London, EC4Y",51.5125525,-0.1053723,1050000.0,EC4Y 0AH,EC4Y 0,37.0,70900.0
"Barbican, Ben Jonson House",51.5208843,-0.0940756,765000.0,EC2Y 8NB,EC2Y 8,3.0,42300.0
"Dyer's Building, Pink Mews, EC1N",51.5178267,-0.1099753,980000.0,EC1N 2LE,EC1N 2,37.0,38500.0
"3 Ludgate Square, London",51.51353030000001,-0.1016095,295000.0,EC4V 5BR,EC4V 5,1.0,42300.0
"Bridgewater Square, London, EC2Y",51.5210683,-0.0955529,650000.0,EC2Y 8AH,EC2Y 8,9.0,42300.0
"Pinks Mews, Holborn, EC1N",51.5178267,-0.1099753,1499950.0,EC1N 2LE,EC1N 2,3.0,38500.0
"Bream's Buildings, Bream's Building",51.5160671,-0.1105561,1400000.0,EC4A 1ES,EC4A 1,19.0,70900.0
"The Heron, EC2Y",51.519804,-0.0897984999999999,1500000.0,EC2Y 9AR,EC2Y 9,1.0,45200.0
"Giltspur Street, London, EC1A",51.5168756,-0.1015909,575000.0,EC1A 9DE,EC1A 9,1.0,42300.0
"New Street, London, EC2M",51.5171993,-0.0794591,1195000.0,EC2M 4TR,EC2M 4,8.0,46800.0
"Frobisher Crescent, Barbican, London",51.5205156,-0.0937221,3000000.0,EC2Y 8DS,EC2Y 8,4.0,42300.0
"Ludgate Hill, London, EC4M",51.5140019,-0.1025258,515000.0,EC4M 7NG,EC4M 7,8.0,42300.0
"East Harding Street, EC4A",51.5154288,-0.1076264,1500000.0,EC4A 3BA,EC4A 3,8.0,70900.0
"Bartholomew Close, London, EC1A",51.5182419,-0.0990134,595000.0,EC1A 7BB,EC1A 7,9.0,42300.0
"Queens Quay, 58 Upper Thames Street, London, EC4V",51.5106493,-0.0955299,291000.0,EC4V 3EH,EC4V 3,9.0,52300.0
"Charterhouse Square, Clerkenwell, London, EC1M",51.5203487,-0.0994439,450000.0,EC1M 6AG,EC1M 6,19.0,42300.0
"London House, Aldersgate Street, London, EC1A  (Investor only)",51.5182522,-0.0971640999999999,375000.0,EC1A 4HT,EC1A 4,4.0,42300.0
"Carthusian Street, London, EC1M",51.5206445,-0.0979316,1350000.0,EC1M 6EB,EC1M 6,8.0,42300.0
"Carthusian Street, Barbican, EC1M",51.5206445,-0.0979316,1500000.0,EC1M 6EB,EC1M 6,3.0,42300.0
"Hosier Lane, London",51.5177301,-0.1023991,1500000.0,EC1A 9LQ,EC1A 9,8.0,42300.0
"West Smithfield, Clerkenwell",51.5183449,-0.1029578,525000.0,EC1A 9LF,EC1A 9,3.0,42300.0
"Warwick Lane, EC4M",51.5153908,-0.1007396,999950.0,EC4M 7BY,EC4M 7,1.0,42300.0
"26 Savage Gardens, London, EC3N 2AR",51.51113429999999,-0.0776048999999999,975000.0,EC3N 2AR,EC3N 2,26.0,45100.0
"Blackfriars, London, EC4V",51.51199200000001,-0.1038617,485000.0,EC4V 4EG,EC4V 4,4.0,70900.0
"4-8 Creechurch Lane, London",51.5136038,-0.0788729,550000.0,EC3A 5AY,EC3A 5,8.0,46800.0
"Water Lane, Tower Hill, EC3R",51.5085184,-0.0812698,535000.0,EC3R 6AN,EC3R 6,2.0,45100.0
"Middlesex Street, London, E1",51.5166462,-0.0768367,850000.0,E1 7LB,E1 7,13.0,46800.0
"Seddon House, Barbican, London, EC2Y",51.5191215,-0.0968154,930000.0,EC2Y 8BY,EC2Y 8,1.0,42300.0
"Gatsby Apartments, 68 Wentworth Street, London, E1",51.51693119999999,-0.0726336,399000.0,E1 7BB,E1 7,2.0,40700.0
"The Void Space, Cromwell Tower, Barbican, London, EC2Y",51.5205358,-0.0927797,695000.0,EC2Y 8DD,EC2Y 8,4.0,42300.0
"Hosier Lane, West Smithfiled, London",51.5177032,-0.1015317,3000000.0,EC1A 9LQ,EC1A 9,3.0,42300.0
"Bartholomew Close, Farringdon, Barbican, London, EC1A",51.5182419,-0.0990134,1900000.0,EC1A 7BB,EC1A 7,7.0,42300.0
"Middlesex Street, Liverpool Street",51.51875159999999,-0.0814374,1000000.0,EC2A 2JN,EC2A 2,37.0,46800.0
"Thomas More House II, Barbican, London EC2",51.5190293,-0.0960009,1650000.0,EC1A 4LA,EC1A 4,37.0,42300.0
"Middlesex Street, London, E1",51.5166462,-0.0768367,975000.0,E1 7LB,E1 7,9.0,46800.0
"Octave House, 4 Botolph Alley, London, EC3R",51.5101524,-0.0843461,425000.0,EC3R 8DR,EC3R 8,9.0,45100.0
"Great Arthur House, Golden Lane Estate, London, EC1Y",51.5220924,-0.0960859999999999,625000.0,EC1Y 0SA,EC1Y 0,4.0,42300.0
"Wesley House, 5 Little Britain, EC1A",51.51713609999999,-0.0980207999999999,540000.0,EC1A 7BX,EC1A 7,37.0,42300.0
Essex Street London WC2R,51.5126376,-0.1128241,800000.0,WC2R 3JF,WC2R 3,7.0,70900.0
"John Trundle Court, Barbican, London, EC2Y",51.5205253,-0.096939,2400000.0,EC1A 4JP,EC1A 4,37.0,42300.0
"Barbican, Ben Jonson House",51.5208843,-0.0940756,1160000.0,EC2Y 8NB,EC2Y 8,5.0,42300.0
"Sir John Lyon House, 8 High Timber Street, London, EC4V",51.51099620000001,-0.0963962,1275000.0,EC4V 3DT,EC4V 3,10.0,52300.0
"Moor Lane, City Of London, Moorgate, London, EC2Y",51.519514,-0.0901581,3500000.0,EC2Y 9AP,EC2Y 9,9.0,45200.0
"Dyer's Buildings, Holborn",51.5175887,-0.1100031,750000.0,EC1N 2JT,EC1N 2,4.0,38500.0
"Fleet Street, St Pauls, London, EC4A",51.5142243,-0.1079636,1595000.0,EC4A 2DQ,EC4A 2,3.0,70900.0
"10 Hosier Lane, London",51.5176379,-0.1026897,1150000.0,EC1A 9LQ,EC1A 9,37.0,42300.0
"Middle Street, City of London",51.5196993,-0.097986,550000.0,EC1A 9HF,EC1A 9,5.0,42300.0
"Aldersgate Street, London House, Aldersgate Street",51.5182522,-0.0971640999999999,1795000.0,EC1A 4HT,EC1A 4,5.0,42300.0
"Pinks Mews, Holborn, EC1N",51.5178267,-0.1099753,750000.0,EC1N 2LE,EC1N 2,5.0,38500.0
"Hosier Lane, Clerkenwell",51.5264898,-0.1078746,1400000.0,EC1R 0HX,EC1R 0,1.0,56400.0
"Sugar Quay, 1 Water Lane, London, EC3R",51.50867830000001,-0.0809694,450000.0,EC3R 6AP,EC3R 6,4.0,45100.0
"St Dunstans House, 133-137 Fetter Lane, London, EC4A",51.51491610000001,-0.1100122,4650000.0,EC4A 1BT,EC4A 1,4.0,70900.0
"Haydon Gardens, 15-16 Minories, London, EC3N 1AX",51.5130455,-0.0756809,695000.0,EC3N 1LS,EC3N 1,2.0,46800.0
"Milton House, Little Britain, London",51.5072178,-0.1275862,820000.0,SW1A 2DX,SW1A 2,1.0,60300.0
"Hosier Lane, London, EC1A",51.5177301,-0.1023991,895000.0,EC1A 9LQ,EC1A 9,1.0,42300.0
"High Timber Street, London, EC4V",51.5110008,-0.0959521,550000.0,EC4V 3DT,EC4V 3,4.0,52300.0
"Monkwell Square, City of London",51.5181711,-0.0938493,1175000.0,EC2Y 8BH,EC2Y 8,2.0,42300.0
"Dyer's Buildings, Holborn",51.5175887,-0.1100031,2350000.0,EC1N 2JT,EC1N 2,37.0,38500.0
"Haydon Gardens, 15-16 Minories, London, EC3N 1AX",51.5130455,-0.0756809,1495000.0,EC3N 1LS,EC3N 1,37.0,46800.0
"Haydon Gardens, 15-16 Minories, London, EC3N 1AX",51.5130455,-0.0756809,1700000.0,EC3N 1LS,EC3N 1,2.0,46800.0
"Haydon Gardens, 15-16 Minories, London, EC3N 1AX",51.5130455,-0.0756809,2185000.0,EC3N 1LS,EC3N 1,2.0,46800.0
"Bartholomew Close, London",51.5182419,-0.0990134,1150000.0,EC1A 7BB,EC1A 7,7.0,42300.0
"The Hanover, The Westin Residences, London, EC4V",51.5108896,-0.095222,795000.0,EC4V 3AD,EC4V 3,37.0,52300.0
"The Colville, The Westin Residences, London, EC4V",51.5108896,-0.095222,6250000.0,EC4V 3AD,EC4V 3,1.0,52300.0
"Cullum Welch House, Golden Lane Estate, London, EC1Y",51.5222165,-0.0967346999999999,3920000.0,EC1M 7AA,EC1M 7,7.0,42300.0
"1-6 Dyer's Building, Holborn, London, EC1N",51.5174033,-0.1101463,795000.0,EC4A 1JQ,EC4A 1,4.0,38500.0
"Breams Buildings, EC4A, City, London, EC4A",51.5160894,-0.1101299,1475000.0,EC4A 1ES,EC4A 1,12.0,70900.0
"John Trundle Court, Barbican, London, EC2Y",51.5205253,-0.096939,1325000.0,EC1A 4JP,EC1A 4,4.0,42300.0
"Essex Street, London, WC2R",51.5126376,-0.1128241,400000.0,WC2R 3JF,WC2R 3,3.0,70900.0
